dataset,channel,temp_C,cycle,weeks,type,date,file_path,pattern_chunks
main_cell,ch2,25,100,,Pattern,2022-09-21,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\22_09_21_에기연 열화셀_25deg_100Cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,200,,Pattern,2022-09-27,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\22_09_27_에기연 열화셀_25deg_200cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,300,,Pattern,2022-10-06,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\22_10_06_에기연 열화셀_25deg_300cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,400,,Pattern,2022-10-13,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\22_10_13_에기연 열화셀_25deg_400cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,500,,Pattern,2022-10-19,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\22_10_19_에기연 열화셀_25deg_500cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,600,,Pattern,2022-10-27,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\22_10_27_에기연 열화셀_25deg_600cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,700,,Pattern,2022-11-02,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\22_11_02_에기연 열화셀_25deg_700cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,800,,Pattern,2022-11-09,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\22_11_09_에기연 열화셀_25deg_800cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,900,,Pattern,2022-11-16,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\22_11_16_에기연 열화셀_25deg_900cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,1000,,Pattern,2022-11-23,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\22_11_23_에기연 열화셀_25deg_1000cycle_ch2_M01Ch002(002).csv,
